cm^(-1),4,4_2,122,27,27_2
6904.36416,0.07304,0.10361,0.07198,0.17746,0.15357
6903.88197,0.0728,0.10435,0.07136,0.17748,0.15341
6903.39979,0.07303,0.10573,0.0714,0.17792,0.15296
6902.91761,0.07345,0.10714,0.07207,0.17843,0.15243
6902.43543,0.07348,0.10799,0.07301,0.17854,0.15198
6901.95325,0.07271,0.108,0.07377,0.17802,0.15172
6901.47106,0.07128,0.10751,0.07409,0.17708,0.15172
6900.98888,0.06975,0.10716,0.07389,0.17623,0.15187
6900.5067,0.06868,0.10743,0.07312,0.17589,0.15191
6900.02452,0.0681,0.10824,0.07164,0.17607,0.15149
6899.54234,0.06756,0.10901,0.06938,0.1764,0.15041
6899.06015,0.06658,0.10908,0.0665,0.17648,0.1489
6898.57797,0.06519,0.10823,0.06355,0.17622,0.14761
6898.09579,0.06402,0.10676,0.06129,0.17596,0.14731
6897.61361,0.06387,0.10525,0.06039,0.17621,0.14849
6897.13143,0.065,0.10413,0.06107,0.17728,0.15092
6896.64924,0.06692,0.10351,0.06304,0.17896,0.15366
6896.16706,0.06866,0.10334,0.06569,0.18069,0.15556
6895.68488,0.06942,0.10359,0.06834,0.18186,0.15587
6895.2027,0.06905,0.1042,0.07049,0.18216,0.15471
6894.72052,0.06811,0.10499,0.07196,0.18177,0.1529
6894.23833,0.06742,0.10562,0.07285,0.18118,0.15144
6893.75615,0.06762,0.10584,0.07342,0.18084,0.15094
6893.27397,0.06876,0.10561,0.07375,0.18081,0.15137
6892.79179,0.07029,0.10511,0.07368,0.18077,0.15226
6892.30961,0.07148,0.10449,0.07289,0.18032,0.15321
6891.82742,0.0718,0.10379,0.07135,0.17946,0.15413
6891.34524,0.07122,0.10301,0.0695,0.17864,0.15501
6890.86306,0.07004,0.10222,0.06802,0.17839,0.15566
6890.38088,0.06871,0.10155,0.06742,0.17884,0.1556
6889.8987,0.06762,0.10109,0.06763,0.17963,0.15444
6889.41651,0.06714,0.10084,0.06812,0.18025,0.1523
6888.93433,0.06756,0.10082,0.06833,0.18047,0.14988
6888.45215,0.06895,0.10096,0.068,0.18033,0.14801
6887.96997,0.07098,0.1011,0.06719,0.17983,0.14707
6887.48779,0.07289,0.10084,0.06615,0.17882,0.14682
6887.0056,0.07394,0.09984,0.06514,0.17719,0.14674
6886.52342,0.07379,0.09807,0.06442,0.17534,0.1465
6886.04124,0.07266,0.09599,0.06416,0.17406,0.14625
6885.55906,0.07109,0.09435,0.06432,0.17391,0.14642
6885.07688,0.06952,0.09375,0.06465,0.17465,0.14739
6884.59469,0.06815,0.09434,0.06486,0.17527,0.14915
6884.11251,0.06692,0.09581,0.06493,0.17477,0.15138
6883.63033,0.06572,0.09755,0.06506,0.17291,0.15357
6883.14815,0.06454,0.09896,0.06559,0.17034,0.15523
6882.66597,0.0635,0.09973,0.06674,0.16818,0.15598
6882.18378,0.06294,0.10001,0.06852,0.1673,0.15561
6881.7016,0.06319,0.1003,0.07068,0.16808,0.15416
6881.21942,0.06439,0.10103,0.07269,0.17031,0.15204
6880.73724,0.06623,0.10209,0.07381,0.17323,0.15002
6880.25506,0.06807,0.10281,0.07341,0.17572,0.14886
6879.77287,0.06931,0.10251,0.07146,0.17676,0.14896
6879.29069,0.06978,0.10114,0.06877,0.17602,0.1501
6878.80851,0.06979,0.09941,0.06662,0.17411,0.15159
6878.32633,0.06982,0.09835,0.06591,0.17221,0.15275
6877.84415,0.07015,0.09847,0.06667,0.17129,0.15327
6877.36196,0.07073,0.09948,0.06807,0.17155,0.15333
6876.87978,0.07138,0.10055,0.06919,0.17256,0.15329
6876.3976,0.07198,0.10091,0.06968,0.17374,0.15343
6875.91542,0.07254,0.10031,0.06981,0.1748,0.15383
6875.43324,0.07299,0.09901,0.07006,0.17568,0.15442
6874.95105,0.07314,0.09748,0.07055,0.17626,0.15497
6874.46887,0.07272,0.09607,0.07078,0.17625,0.1551
6873.98669,0.0716,0.09498,0.07,0.17538,0.15439
6873.50451,0.06999,0.09433,0.06786,0.17373,0.15269
6873.02233,0.06836,0.09434,0.06484,0.17178,0.15038
6872.54014,0.06731,0.0952,0.06207,0.17018,0.14833
6872.05796,0.0673,0.09691,0.06069,0.16939,0.14746
6871.57578,0.06832,0.09902,0.06111,0.16951,0.1481
6871.0936,0.06986,0.10082,0.06282,0.17031,0.14979
6870.61142,0.07109,0.10171,0.06481,0.17147,0.15159
6870.12923,0.07136,0.10163,0.06634,0.17276,0.15268
6869.64705,0.07057,0.10105,0.06725,0.17408,0.15287
6869.16487,0.06919,0.1007,0.06779,0.17541,0.15245
6868.68269,0.06789,0.10102,0.06811,0.17671,0.15179
6868.20051,0.06708,0.10193,0.06811,0.17791,0.15105
6867.71832,0.06676,0.10288,0.06761,0.17892,0.15025
6867.23614,0.06675,0.10329,0.06677,0.17971,0.14954
6866.75396,0.06695,0.10298,0.06607,0.18029,0.14936
6866.27178,0.06741,0.10231,0.06603,0.18075,0.15004
6865.7896,0.0682,0.10201,0.06679,0.18117,0.15151
6865.30741,0.06927,0.10262,0.06808,0.18154,0.15312
6864.82523,0.07046,0.10414,0.06948,0.18175,0.15407
6864.34305,0.07162,0.10601,0.07066,0.18151,0.15384
6863.86087,0.07265,0.10746,0.07159,0.18052,0.15251
6863.37869,0.07344,0.10803,0.07233,0.17864,0.15061
6862.8965,0.07384,0.10773,0.07292,0.17608,0.14886
6862.41432,0.07366,0.10689,0.07327,0.17333,0.14785
6861.93214,0.07284,0.10578,0.07316,0.171,0.14791
6861.44996,0.07149,0.10444,0.07237,0.16946,0.14893
6860.96778,0.06988,0.1028,0.07084,0.16875,0.1504
6860.48559,0.06831,0.10092,0.06884,0.1687,0.15159
6860.00341,0.06696,0.09914,0.06701,0.16923,0.152
6859.52123,0.06595,0.09797,0.06607,0.17048,0.15163
6859.03905,0.06542,0.09773,0.06652,0.17266,0.15103
6858.55687,0.06555,0.09836,0.06826,0.17568,0.15083
6858.07468,0.06653,0.09946,0.07071,0.17899,0.15136
6857.5925,0.06829,0.10061,0.07302,0.18177,0.15238
6857.11032,0.0704,0.1017,0.07448,0.18326,0.15329
6856.62814,0.07221,0.10292,0.07469,0.18318,0.1535
6856.14596,0.07327,0.10446,0.07355,0.18177,0.15283
6855.66377,0.0736,0.10626,0.07128,0.17966,0.15158
6855.18159,0.07363,0.10791,0.0684,0.1776,0.15033
6854.69941,0.07383,0.10904,0.06569,0.17628,0.14963
6854.21723,0.0743,0.10952,0.06394,0.17604,0.14971
6853.73505,0.07475,0.10952,0.06364,0.17688,0.15047
6853.25286,0.07479,0.10922,0.06471,0.17844,0.15162
6852.77068,0.07427,0.10867,0.0665,0.18023,0.15273
6852.2885,0.07333,0.10785,0.06809,0.18183,0.1534
6851.80632,0.07224,0.10679,0.06873,0.18289,0.15323
6851.32414,0.07117,0.10558,0.06821,0.1832,0.15209
6850.84195,0.07014,0.1043,0.06689,0.18275,0.15027
6850.35977,0.06915,0.10287,0.06557,0.18181,0.14847
6849.87759,0.06836,0.1013,0.06506,0.18096,0.14753
6849.39541,0.0681,0.09993,0.06586,0.18084,0.14797
6848.91323,0.06869,0.09931,0.06793,0.18172,0.14963
6848.43104,0.07013,0.09986,0.07074,0.18319,0.15179
6847.94886,0.07198,0.10137,0.07348,0.18432,0.15349
6847.46668,0.07346,0.10305,0.07537,0.18413,0.1541
6846.9845,0.07386,0.10395,0.0759,0.18226,0.15357
6846.50232,0.07293,0.10352,0.07492,0.17911,0.1524
6846.02013,0.07105,0.10201,0.07271,0.17573,0.15135
6845.53795,0.06903,0.10022,0.06992,0.17322,0.15103
6845.05577,0.06766,0.09906,0.06743,0.17229,0.15165
6844.57359,0.06731,0.09907,0.06605,0.17301,0.15305
6844.09141,0.06789,0.10017,0.06616,0.17483,0.1548
6843.60922,0.06893,0.10184,0.06752,0.17698,0.15651
6843.12704,0.06995,0.10334,0.06939,0.17883,0.15796
6842.64486,0.07067,0.10425,0.07092,0.18025,0.1592
6842.16268,0.07122,0.10466,0.07159,0.1815,0.16045
6841.68049,0.07194,0.1051,0.07138,0.18279,0.16192
6841.19831,0.07301,0.10593,0.0705,0.18393,0.16348
6840.71613,0.07416,0.10704,0.06915,0.18427,0.16454
6840.23395,0.07467,0.10779,0.06741,0.18318,0.16435
6839.75177,0.07391,0.10761,0.06553,0.18062,0.1625
6839.26958,0.07183,0.1066,0.064,0.17733,0.15931
6838.7874,0.0692,0.10555,0.06344,0.17439,0.15579
6838.30522,0.06716,0.1053,0.06414,0.1726,0.15303
6837.82304,0.06649,0.106,0.06572,0.17204,0.15148
6837.34086,0.06719,0.10694,0.06737,0.17218,0.1507
6836.85867,0.06853,0.10721,0.06837,0.17245,0.14968
6836.37649,0.06963,0.10641,0.06858,0.1727,0.14755
6835.89431,0.07,0.10501,0.06848,0.17327,0.14421
6835.41213,0.06967,0.10385,0.06868,0.17454,0.14047
6834.92995,0.06906,0.1035,0.06948,0.17649,0.13762
6834.44776,0.06853,0.10388,0.07062,0.17848,0.13676
6833.96558,0.06824,0.10453,0.07149,0.17961,0.13824
6833.4834,0.06813,0.10494,0.07157,0.1793,0.14145
6833.00122,0.06812,0.10488,0.07073,0.17774,0.14527
6832.51904,0.0682,0.10436,0.06923,0.17566,0.14853
6832.03685,0.06834,0.10347,0.06746,0.17384,0.15056
6831.55467,0.06842,0.10229,0.06564,0.17261,0.15128
6831.07249,0.06826,0.10085,0.06391,0.17182,0.15094
6830.59031,0.06771,0.09922,0.06241,0.17113,0.14991
6830.10813,0.06686,0.09755,0.06147,0.17038,0.14858
6829.62594,0.06602,0.09609,0.06143,0.16965,0.14739
6829.14376,0.06565,0.09516,0.06238,0.16909,0.14677
6828.66158,0.06607,0.09503,0.06403,0.16881,0.14695
6828.1794,0.06741,0.09584,0.06586,0.16887,0.14787
6827.69722,0.06941,0.09752,0.06746,0.16946,0.14918
6827.21503,0.07155,0.0998,0.06869,0.17076,0.15053
6826.73285,0.07316,0.10223,0.06957,0.17283,0.15163
6826.25067,0.07372,0.10426,0.07007,0.17544,0.15228
6825.76849,0.07315,0.10542,0.07003,0.17803,0.15219
6825.28631,0.07184,0.10547,0.06928,0.17992,0.15112
6824.80412,0.07038,0.10461,0.06782,0.1806,0.1491
6824.32194,0.06921,0.10338,0.06596,0.18001,0.14664
6823.83976,0.06838,0.10244,0.06422,0.17857,0.14454
6823.35758,0.06761,0.10219,0.0631,0.17703,0.14343
6822.8754,0.06655,0.10266,0.06277,0.17611,0.1434
6822.39321,0.06513,0.10347,0.06298,0.17615,0.14405
6821.91103,0.06376,0.10408,0.0633,0.17698,0.14489
6821.42885,0.06313,0.10406,0.06346,0.1781,0.14574
6820.94667,0.06382,0.10327,0.06359,0.17902,0.14672
6820.46449,0.06582,0.10193,0.06405,0.17937,0.14787
6819.9823,0.06842,0.10052,0.06502,0.17901,0.14887
6819.50012,0.07052,0.09946,0.06627,0.17799,0.14929
6819.01794,0.07131,0.09892,0.06726,0.17655,0.14901
6818.53576,0.07071,0.09872,0.0675,0.17512,0.14831
6818.05358,0.06925,0.0985,0.06689,0.17416,0.14759
6817.57139,0.06762,0.09811,0.06584,0.17388,0.14697
6817.08921,0.06624,0.0977,0.06502,0.17413,0.14623
6816.60703,0.06523,0.09756,0.06506,0.17449,0.14517
6816.12485,0.06461,0.09785,0.06618,0.17453,0.14397
6815.64267,0.06453,0.09843,0.06795,0.17406,0.14302
6815.16048,0.06512,0.099,0.06947,0.17314,0.14262
6814.6783,0.06629,0.09941,0.06984,0.17209,0.14273
6814.19612,0.06774,0.09971,0.0688,0.17133,0.1432
6813.71394,0.06904,0.09996,0.06691,0.17127,0.14402
6813.23176,0.06983,0.10002,0.06512,0.17216,0.14538
6812.74957,0.06999,0.09964,0.06417,0.17385,0.14733
6812.26739,0.06968,0.09882,0.06418,0.17592,0.14962
6811.78521,0.06935,0.098,0.06484,0.17783,0.15184
6811.30303,0.06958,0.09799,0.06583,0.17921,0.15373
6810.82085,0.07072,0.0994,0.06702,0.17992,0.15533
6810.33866,0.07256,0.10209,0.06836,0.17991,0.15667
6809.85648,0.07429,0.10505,0.0696,0.17918,0.15755
6809.3743,0.07493,0.10692,0.0704,0.17777,0.15756
6808.89212,0.07401,0.10677,0.07059,0.17599,0.15649
6808.40994,0.07188,0.10477,0.07039,0.17439,0.15467
6807.92775,0.06955,0.10202,0.07027,0.17354,0.15286
6807.44557,0.06793,0.0998,0.07052,0.1737,0.15168
6806.96339,0.0673,0.09876,0.07092,0.17469,0.15113
6806.48121,0.06713,0.09857,0.07086,0.17596,0.15061
6805.99903,0.0666,0.0984,0.06981,0.17699,0.14937
6805.51684,0.06517,0.09766,0.0678,0.17751,0.14719
6805.03466,0.06303,0.09642,0.06551,0.17755,0.14462
6804.55248,0.06097,0.09533,0.0639,0.17731,0.14269
6804.0703,0.05994,0.09498,0.06362,0.17692,0.14222
6803.58812,0.06041,0.09551,0.06472,0.17638,0.14326
6803.10593,0.06216,0.09657,0.06665,0.17566,0.14506
6802.62375,0.06446,0.09769,0.06867,0.17477,0.14655
6802.14157,0.06648,0.09851,0.07017,0.17391,0.14693
6801.65939,0.06771,0.09889,0.07089,0.17328,0.14612
6801.17721,0.06805,0.09877,0.07085,0.17299,0.14465
6800.69502,0.06765,0.0982,0.07024,0.17294,0.14334
6800.21284,0.06685,0.09749,0.06933,0.17288,0.14288
6799.73066,0.06598,0.09711,0.06836,0.17269,0.14358
6799.24848,0.06544,0.09747,0.06759,0.17257,0.14522
6798.7663,0.06552,0.09857,0.06718,0.17291,0.14727
6798.28411,0.06633,0.09987,0.06722,0.17401,0.14905
6797.80193,0.06761,0.10068,0.06759,0.1757,0.15005
6797.31975,0.06884,0.10054,0.06812,0.17728,0.15005
6796.83757,0.06949,0.09954,0.06863,0.17798,0.14915
6796.35539,0.06934,0.09828,0.0691,0.17751,0.14775
6795.8732,0.06873,0.09751,0.0697,0.17625,0.14648
6795.39102,0.06823,0.09781,0.0706,0.17496,0.14603
6794.90884,0.06825,0.09924,0.07171,0.17416,0.1468
6794.42666,0.06862,0.10136,0.07268,0.17384,0.14864
6793.94448,0.06885,0.10335,0.0731,0.17362,0.15088
6793.46229,0.06863,0.10448,0.07282,0.17328,0.15283
6792.98011,0.06822,0.10449,0.0721,0.17298,0.15408
6792.49793,0.0682,0.10368,0.07132,0.17311,0.15471
6792.01575,0.06893,0.10262,0.07067,0.17391,0.1549
6791.53357,0.07011,0.10171,0.07003,0.17524,0.15471
6791.05138,0.071,0.10094,0.06923,0.17667,0.15408
6790.5692,0.07105,0.10006,0.06827,0.17774,0.15308
6790.08702,0.07039,0.09888,0.06743,0.17824,0.15198
6789.60484,0.0696,0.09752,0.06709,0.1782,0.15106
6789.12266,0.06926,0.09636,0.06746,0.17778,0.15039
6788.64047,0.06945,0.09579,0.0684,0.17708,0.14974
6788.15829,0.06979,0.09594,0.0696,0.17607,0.14885
6787.67611,0.06978,0.09663,0.07064,0.17461,0.14773
6787.19393,0.0692,0.09752,0.07128,0.1727,0.14667
6786.71175,0.06827,0.09832,0.07152,0.17062,0.14614
6786.22956,0.06754,0.09907,0.07158,0.16892,0.14645
6785.74738,0.06748,0.09997,0.0717,0.16815,0.14755
6785.2652,0.06815,0.10117,0.07193,0.1685,0.14892
6784.78302,0.06912,0.10253,0.07214,0.16972,0.14983
6784.30084,0.0698,0.10369,0.07223,0.17131,0.14986
6783.81865,0.07,0.10441,0.07235,0.17282,0.14919
